,Resource,Type,File,http://purl.org/coscine/terms/sfb1394#acquiredIons,http://purl.org/coscine/terms/sfb1394#annularMillingParameters,http://purl.org/coscine/terms/sfb1394#baseTemperature,http://purl.org/coscine/terms/sfb1394#detectionRate,http://purl.org/coscine/terms/sfb1394#laserPulseEnergy,http://purl.org/coscine/terms/sfb1394#lowVoltageCleaning,http://purl.org/coscine/terms/sfb1394#measurementDateTime,http://purl.org/coscine/terms/sfb1394#mode,http://purl.org/coscine/terms/sfb1394#operator,http://purl.org/coscine/terms/sfb1394#parentSampleId,http://purl.org/coscine/terms/sfb1394#pulseFrequency,http://purl.org/coscine/terms/sfb1394#runTime,http://purl.org/coscine/terms/sfb1394#shankAngle,http://purl.org/coscine/terms/sfb1394#specimenApexRadius,http://purl.org/coscine/terms/sfb1394#startVoltage,http://purl.org/coscine/terms/sfb1394#stopVoltage,http://purl.org/dc/terms/created,http://purl.org/dc/terms/creator,http://purl.org/dc/terms/identifier,http://www.purl.org/net/CSMD/4.0#investigation_instrument,http://www.purl.org/net/CSMD/4.0#investigation_sample
10,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_Mg2O.BMP/@type=metadata&version=1672831960,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
11,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_O.BMP/@type=metadata&version=1672831961,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
12,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_ProxAl5%25_11nm_0-5nm.csv/@type=metadata&version=1672831961,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
13,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_ProxCa5%25_11nm_0-5nm.csv/@type=metadata&version=1672831962,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
14,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_cyl-10x10x100nm_1nm.csv/@type=metadata&version=1672831962,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
15,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip300-400nm_20x20nm_scale.BMP/@type=metadata&version=1672831962,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
16,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip400nm-20nmSlice_Al100%25-5%25iso.BMP/@type=metadata&version=1672831963,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
17,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip400nm-20nmSlice_Al100%25.BMP/@type=metadata&version=1672831963,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
18,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip400nm-20nmSlice_AlH100%25.BMP/@type=metadata&version=1672831964,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
19,0406B5CC-68AF-4247-A4CD-37C84BA63D0C,rds,https://purl.org/coscine/resources/0406b5cc-68af-4247-a4cd-37c84ba63d0c/R68_06307-v01-clip400nm-20nmSlice_Ca100%25-5%25iso.BMP/@type=metadata&version=1672831964,25.7,0.79 nA / 1.5 μm0.43 nA / 0.75 μm0.23 nA / 0.5 μm80 pA / 0.3 μm40 pA / 0.1 μm,30.0,0.5,60.0,5 kV / 20 s,2021-07-02,Laser,Marcus Hans,"Thin film sample e117_P16 (Philipp Keuter), Mg-Al-Ca, 100°C (2020-09-02)",125.0,736,9,10,1.2,4.1,2020-11-17,Marcus Hans,R68_06307-v02,LEAP4000XHR_5068,201117_C153_Marcus40:M-2
